dbid;expid;resid;ppid;gender_m_f;age_months;type_risk_control;contrast_native_nonnative;first_alternation_alt_nalt;group_one_two;speaker_multiple_single;trained_train_ntrain;grpid;sesid;sesdate;sestime;sesrepexp;sesrepgrp;sesstat;expstat;expver;phase;trialnum;lt;nlt;looks;lookaways;crit_met;alt_type
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;2;2018-11-19;11:40;1;1;3;0;1;PHASE_POST_ATTENTION;12;7153;6847;4;4;false;0
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;2;2018-11-19;11:40;1;1;3;0;1;PHASE_POST_ATTENTION;13;7415;7835;5;4;false;0
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;2;2018-11-19;11:40;1;1;3;0;1;PHASE_POST_ATTENTION;14;8525;7975;5;5;false;0
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;2;2018-11-19;11:40;1;1;3;0;1;PHASE_POST_ATTENTION;15;8578;9172;6;5;false;0
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;2;2018-11-19;11:40;1;1;3;0;1;PHASE_POST_ATTENTION;16;9828;9172;6;5;false;0
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;2;2018-11-19;11:40;1;1;3;0;1;PHASE_POST_ATTENTION;17;10047;10203;6;6;false;0
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;2;2018-11-19;11:40;1;1;3;0;1;PHASE_POST_ATTENTION;18;10417;11083;7;7;false;0
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;2;2018-11-19;11:40;1;1;3;0;1;PHASE_POST_ATTENTION;19;10417;12333;7;7;false;0
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;2;2018-11-19;11:40;1;1;3;0;1;PHASE_POST_ATTENTION;20;10417;13583;7;7;false;0
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;PHASE_POST_ATTENTION;1;250;0;1;0;false;0
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;PHASE_POST_ATTENTION;2;1500;0;1;0;false;0
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;PHASE_POST_ATTENTION;3;2750;0;1;0;false;0
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;PHASE_POST_ATTENTION;4;3963;37;1;1;false;0
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;PHASE_POST_ATTENTION;5;4201;1049;2;1;false;0
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;PHASE_POST_ATTENTION;6;5373;1127;2;2;false;0
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;PHASE_POST_ATTENTION;7;5973;1776;3;2;false;0
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;PHASE_POST_ATTENTION;8;6478;2522;3;3;false;0
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;PHASE_POST_ATTENTION;9;7422;2828;4;4;false;0
