dbid;expid;resid;ppid;gender_m_f;age_months;type_risk_control;contrast_native_nonnative;first_alternation_alt_nalt;group_one_two;speaker_multiple_single;trained_train_ntrain;grpid;sesid;sesdate;sestime;sesrepexp;sesrepgrp;sesstat;expstat;expver;trial;tstart;tend;sound;face
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;2;2018-11-19;11:40;1;1;3;0;1;0;171936;172186;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;2;2018-11-19;11:40;1;1;3;0;1;0;173186;173436;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;0;194970;195220;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;0;196220;196470;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;0;197470;197720;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;0;198720;198970;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;0;199970;200220;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;0;201220;201470;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;0;202470;202720;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;0;203720;203970;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;0;204970;205220;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;0;206220;206470;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;0;207470;207720;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;0;208720;208970;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;0;209970;210220;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;0;211220;211470;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;0;212470;212720;some beep;none
01;hvf;JD;slurpie;f;111;risk;native;nalt;two;multiple;ntrain;ALL;3;2018-11-19;14:10;2;2;3;0;1;0;213720;213970;some beep;none
